query_text	PMid	title	source	time_article_has_been_cited	pubdate
embryonal rhabdomyosarcoma AND expression AND CDKN2A[Gene]	21412928	High-resolution array CGH identifies common mechanisms that drive embryonal rhabdomyosarcoma pathogenesis.	Genes Chromosomes Cancer	39	2011 Jun
embryonal rhabdomyosarcoma AND expression AND CDKN2A[Gene]	10534762	Genes, chromosomes, and rhabdomyosarcoma.	Genes Chromosomes Cancer	35	1999 Dec
embryonal rhabdomyosarcoma AND expression AND CDKN2A[Gene]	15489287	Alveolar rhabdomyosarcomas in conditional Pax3:Fkhr mice: cooperativity of Ink4a/ARF and Trp53 loss of function.	Genes Dev	118	2004 Nov 1
embryonal rhabdomyosarcoma AND expression AND CDKN2A[Gene]	20596646	Tumor suppressor gene alterations of spontaneously malignant transformed cells from human embryonic muscle in vitro.	Oncol Rep	1	2010 Aug
embryonal rhabdomyosarcoma AND expression AND CDKN2A[Gene]	30353028	Analysis of the relationship between the KRAS G12V oncogene and the Hippo effector YAP1 in embryonal rhabdomyosarcoma.	Sci Rep		2018 Oct 23
embryonal rhabdomyosarcoma AND expression AND CIC[Gene]	1	CD133 marks a myogenically primitive subpopulation in rhabdomyosarcoma cell lines that are relatively chemoresistant but sensitive to mutant HSV.	Pediatr Blood Cancer	13	2013 Jan
embryonal rhabdomyosarcoma AND expression AND DICER1[Gene]	1	Recurrent somatic DICER1 mutations in nonepithelial ovarian cancers.	N Engl J Med	94	2012 Jan 19
embryonal rhabdomyosarcoma AND expression AND DROSHA[Gene]	1	Recurrent somatic DICER1 mutations in nonepithelial ovarian cancers.	N Engl J Med	94	2012 Jan 19
embryonal rhabdomyosarcoma AND expression AND EZH2[Gene]	26251675	MicroRNA-101 is repressed by EZH2 and its restoration inhibits tumorigenic features in embryonal rhabdomyosarcoma.	Clin Epigenetics	9	2015
embryonal rhabdomyosarcoma AND expression AND EZH2[Gene]	23435416	JARID2 is a direct target of the PAX3-FOXO1 fusion protein and inhibits myogenic differentiation of rhabdomyosarcoma cells.	Oncogene	30	2014 Feb 27
embryonal rhabdomyosarcoma AND expression AND EZH2[Gene]	24213577	The Polycomb group (PcG) protein EZH2 supports the survival of PAX3-FOXO1 alveolar rhabdomyosarcoma by repressing FBXO32 (Atrogin1/MAFbx).	Oncogene	27	2014 Aug 7
embryonal rhabdomyosarcoma AND expression AND EZH2[Gene]	25625846	Overexpression of HOX genes is prevalent in Ewing sarcoma and is associated with altered epigenetic regulation of developmental transcription programs.	Epigenetics	19	2014 Dec
embryonal rhabdomyosarcoma AND expression AND EZH2[Gene]	24575771	Pharmacological inhibition of EZH2 as a promising differentiation therapy in embryonal RMS.	BMC Cancer	18	2014 Feb 27
embryonal rhabdomyosarcoma AND expression AND EZH2[Gene]	28722764	12-O-tetradecanoylphorbol-13-acetate and EZH2 inhibition: A novel approach for promoting myogenic differentiation in embryonal rhabdomyosarcoma cells.	J Cell Physiol	1	2018 Mar
embryonal rhabdomyosarcoma AND expression AND EZH2[Gene]	30120321	High expression of EZH2 as a marker for the differential diagnosis of malignant and benign myogenic tumors.	Sci Rep		2018 Aug 17
embryonal rhabdomyosarcoma AND expression AND FAS[Gene]	1	The Antiviral Effect of Baicalin on Enterovirus 71 In Vitro.	Viruses	7	2015 Aug 19
embryonal rhabdomyosarcoma AND expression AND FBXW7[Gene]	26138366	Integrated genetic and epigenetic analysis defines novel molecular subgroups in rhabdomyosarcoma.	Nat Commun	28	2015 Jul 3
embryonal rhabdomyosarcoma AND expression AND FBXW7[Gene]	26872011	Frequent HRAS Mutations in Malignant Ectomesenchymoma: Overlapping Genetic Abnormalities With Embryonal Rhabdomyosarcoma.	Am J Surg Pathol	1	2016 Jul
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	27488535	Heme Oxygenase-1 Controls an HDAC4-miR-206 Pathway of Oxidative Stress in Rhabdomyosarcoma.	Cancer Res	9	2016 Oct 1
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	24618610	Myogenin, AP2β, NOS-1, and HMGA2 are surrogate markers of fusion status in rhabdomyosarcoma: a report from the soft tissue sarcoma committee of the children's oncology group.	Am J Surg Pathol	9	2014 May
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	27853183	Exosomes derived from embryonal and alveolar rhabdomyosarcoma carry differential miRNA cargo and promote invasion of recipient fibroblasts.	Sci Rep	6	2016 Nov 17
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	27385213	Anaplastic lymphoma kinase aberrations correlate with metastatic features in pediatric rhabdomyosarcoma.	Oncotarget	6	2016 Sep 13
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	27277678	PAX7 is a required target for microRNA-206-induced differentiation of fusion-negative rhabdomyosarcoma.	Cell Death Dis	6	2016 Jun 9
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	27984116	MicroRNA and gene co-expression networks characterize biological and clinical behavior of rhabdomyosarcomas.	Cancer Lett	5	2017 Jan 28
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	27454080	Comparative transcriptomic analysis reveals the oncogenic fusion protein PAX3-FOXO1 globally alters mRNA and miRNA to enhance myoblast invasion.	Oncogenesis	5	2016 Jul 25
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	26071485	Secreted Frizzled-Related Protein 3 (SFRP3) Is Required for Tumorigenesis of PAX3-FOXO1-Positive Alveolar Rhabdomyosarcoma.	Clin Cancer Res	5	2015 Nov 1
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	26473193	Clinical Application of Prognostic Gene Expression Signature in Fusion Gene-Negative Rhabdomyosarcoma: A Report from the Children's Oncology Group.	Clin Cancer Res	4	2015 Oct 15
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	26412593	Human rhabdomyosarcoma cells express functional erythropoietin receptor: Potential therapeutic implications.	Int J Oncol	4	2015 Nov
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	24797362	Hyper-activation of Notch3 amplifies the proliferative potential of rhabdomyosarcoma cells.	PLoS One	4	2014
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	24793135	A recurrent neomorphic mutation in MYOD1 defines a clinically aggressive subset of embryonal rhabdomyosarcoma associated with PI3K-AKT pathway mutations.	Nat Genet	33	2014 Jun
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	28058850	Molecular diagnostics in the management of rhabdomyosarcoma.	Expert Rev Mol Diagn	3	2017 Feb
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	26209235	Uncovering metabolism in rhabdomyosarcoma.	Cell Cycle	3	2016
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	26138366	Integrated genetic and epigenetic analysis defines novel molecular subgroups in rhabdomyosarcoma.	Nat Commun	28	2015 Jul 3
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	28981396	Cancer-Specific Energy Metabolism in Rhabdomyosarcoma Cells Is Regulated by MicroRNA.	Nucleic Acid Ther	2	2017 Dec
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	28380437	NELL1, whose high expression correlates with negative outcomes, has different methylation patterns in alveolar and embryonal rhabdomyosarcoma.	Oncotarget	1	2017 May 16
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	27840956	MET/ERK2 pathway regulates the motility of human alveolar rhabdomyosarcoma cells.	Oncol Rep	1	2017 Jan
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	31493794	OLIG2 is a novel immunohistochemical marker associated with the presence of PAX3/7-FOXO1 translocation in rhabdomyosarcomas.	Diagn Pathol		2019 Sep 7
embryonal rhabdomyosarcoma AND expression AND FOXO1[Gene]	31099166	Evaluation of entinostat alone and in combination with standard-of-care cytotoxic agents against rhabdomyosarcoma xenograft models.	Pediatr Blood Cancer		2019 Aug
embryonal rhabdomyosarcoma AND expression AND GPC3[Gene]	25344940	Glypican 3 expression in pediatric malignant solid tumors.	Eur J Pediatr Surg	6	2015 Feb
embryonal rhabdomyosarcoma AND expression AND GPC3[Gene]	21493758	Glypican-3 is expressed in rhabdomyosarcomas but not adult spindle cell and pleomorphic sarcomas.	J Clin Pathol	6	2011 Jul
embryonal rhabdomyosarcoma AND expression AND GPC3[Gene]	30867793	Glypican-3 expression in malignant small round cell tumors.	Oncol Lett		2019 Mar
embryonal rhabdomyosarcoma AND expression AND LEF1[Gene]	1	LEF1 reduces tumor progression and induces myodifferentiation in a subset of rhabdomyosarcoma.	Oncotarget	4	2017 Jan 10
embryonal rhabdomyosarcoma AND expression AND MAP2K4[Gene]	1	Genetic and molecular alterations in rhabdomyosarcoma: mRNA overexpression of MCL1 and MAP2K4 genes.	Histol Histopathol	6	2009 Jan
embryonal rhabdomyosarcoma AND expression AND MAX[Gene]	26387541	Hedgehog/Patched-associated rhabdomyosarcoma formation from delta1-expressing mesodermal cells.	Oncogene	3	2016 Jun 2
embryonal rhabdomyosarcoma AND expression AND MAX[Gene]	26099010	Nuclear Brachyury Expression Is Consistent in Chordoma, Common in Germ Cell Tumors and Small Cell Carcinomas, and Rare in Other Carcinomas and Sarcomas: An Immunohistochemical Study of 5229 Cases.	Am J Surg Pathol	16	2015 Oct
embryonal rhabdomyosarcoma AND expression AND MAX[Gene]	25724000	Sox10--a marker for not only schwannian and melanocytic neoplasms but also myoepithelial cell tumors of soft tissue: a systematic analysis of 5134 tumors.	Am J Surg Pathol	15	2015 Jun
embryonal rhabdomyosarcoma AND expression AND MAX[Gene]	18847459	The molecular basis of genistein-induced mitotic arrest and exit of self-renewal in embryonal carcinoma and primary cancer cell lines.	BMC Med Genomics	13	2008 Oct 10
embryonal rhabdomyosarcoma AND expression AND NDRG1[Gene]	1	EGR1 interacts with TBX2 and functions as a tumor suppressor in rhabdomyosarcoma.	Oncotarget	4	2018 Apr 6
embryonal rhabdomyosarcoma AND expression AND NF1[Gene]	10524458	Rhabdomyosarcoma in a patient with cardio-facio-cutaneous syndrome.	J Pediatr Hematol Oncol	4	1999 Sep-Oct
embryonal rhabdomyosarcoma AND expression AND NF1[Gene]	21412928	High-resolution array CGH identifies common mechanisms that drive embryonal rhabdomyosarcoma pathogenesis.	Genes Chromosomes Cancer	39	2011 Jun
embryonal rhabdomyosarcoma AND expression AND NFE2L2[Gene]	1	NRF2 orchestrates the redox regulation induced by radiation therapy, sustaining embryonal and alveolar rhabdomyosarcoma cells radioresistance.	J Cancer Res Clin Oncol	1	2019 Apr
embryonal rhabdomyosarcoma AND expression AND NOTCH1[Gene]	26636678	Histone Deacetylase Inhibitors Antagonize Distinct Pathways to Suppress Tumorigenesis of Embryonal Rhabdomyosarcoma.	PLoS One	9	2015
embryonal rhabdomyosarcoma AND expression AND NOTCH1[Gene]	28614716	The NOTCH1/SNAIL1/MEF2C Pathway Regulates Growth and Self-Renewal in Embryonal Rhabdomyosarcoma.	Cell Rep	8	2017 Jun 13
embryonal rhabdomyosarcoma AND expression AND NOTCH1[Gene]	24797362	Hyper-activation of Notch3 amplifies the proliferative potential of rhabdomyosarcoma cells.	PLoS One	4	2014
embryonal rhabdomyosarcoma AND expression AND NOTCH1[Gene]	21948088	Inhibition of the Notch-Hey1 axis blocks embryonal rhabdomyosarcoma tumorigenesis.	Clin Cancer Res	21	2011 Dec 1
embryonal rhabdomyosarcoma AND expression AND NOTCH1[Gene]	24272621	Transactivating mutation of the MYOD1 gene is a frequent event in adult spindle cell rhabdomyosarcoma.	J Pathol	19	2014 Feb
embryonal rhabdomyosarcoma AND expression AND NTRK1[Gene]	1	Genomic Profiling of a Large Set of Diverse Pediatric Cancers Identifies Known and Novel Mutations across Tumor Spectra.	Cancer Res	9	2017 Jan 15
embryonal rhabdomyosarcoma AND expression AND PAX5[Gene]	19145202	PAX immunoreactivity identifies alveolar rhabdomyosarcoma.	Am J Surg Pathol	4	2009 May
embryonal rhabdomyosarcoma AND expression AND PAX5[Gene]	24897005	PAX immunoreactivity in poorly differentiated small round cell tumors of childhood.	Fetal Pediatr Pathol	2	2014 Aug
embryonal rhabdomyosarcoma AND expression AND PML[Gene]	1	JARID2 is a direct target of the PAX3-FOXO1 fusion protein and inhibits myogenic differentiation of rhabdomyosarcoma cells.	Oncogene	30	2014 Feb 27
embryonal rhabdomyosarcoma AND expression AND POLE[Gene]	1	Oncofetal expression of Wilms' tumor 1 (WT1) protein in human fetal, adult and neoplastic skeletal muscle tissues.	Acta Histochem	3	2015 May-Jun
embryonal rhabdomyosarcoma AND expression AND PTCH1[Gene]	21316601	Evidence for an unanticipated relationship between undifferentiated pleomorphic sarcoma and embryonal rhabdomyosarcoma.	Cancer Cell	77	2011 Feb 15
embryonal rhabdomyosarcoma AND expression AND PTCH1[Gene]	20818440	Activation of the hedgehog pathway confers a poor prognosis in embryonal and fusion gene-negative alveolar rhabdomyosarcoma.	Oncogene	40	2010 Dec 2
embryonal rhabdomyosarcoma AND expression AND PTCH1[Gene]	21779473	Reduction of human embryonal rhabdomyosarcoma tumor growth by inhibition of the hedgehog signaling pathway.	Genes Cancer	30	2010 Sep
embryonal rhabdomyosarcoma AND expression AND PTCH1[Gene]	29230040	Congenital embryonal rhabdomyosarcoma caused by heterozygous concomitant PTCH1 and PTCH2 germline mutations.	Eur J Hum Genet	3	2018 Jan
embryonal rhabdomyosarcoma AND expression AND PTCH1[Gene]	16254458	The Fem1a gene is downregulated in Rhabdomyosarcoma.	Tumour Biol	2	2005 Nov-Dec
embryonal rhabdomyosarcoma AND expression AND PTCH1[Gene]	20152358	Increased expression of the hedgehog signaling pathway in pediatric solid malignancies.	J Pediatr Surg	17	2010 Feb
embryonal rhabdomyosarcoma AND expression AND PTEN[Gene]	29719592	EGR1 interacts with TBX2 and functions as a tumor suppressor in rhabdomyosarcoma.	Oncotarget	4	2018 Apr 6
embryonal rhabdomyosarcoma AND expression AND PTEN[Gene]	26138366	Integrated genetic and epigenetic analysis defines novel molecular subgroups in rhabdomyosarcoma.	Nat Commun	28	2015 Jul 3
embryonal rhabdomyosarcoma AND expression AND RB1[Gene]	21316601	Evidence for an unanticipated relationship between undifferentiated pleomorphic sarcoma and embryonal rhabdomyosarcoma.	Cancer Cell	77	2011 Feb 15
embryonal rhabdomyosarcoma AND expression AND RB1[Gene]	8418305	Expression of the retinoblastoma susceptibility gene in childhood rhabdomyosarcomas.	J Natl Cancer Inst	7	1993 Jan 20
embryonal rhabdomyosarcoma AND expression AND RB1[Gene]	24274149	Rb1 loss modifies but does not initiate alveolar rhabdomyosarcoma.	Skelet Muscle	2	2013 Nov 25
embryonal rhabdomyosarcoma AND expression AND RB1[Gene]	18386058	Alterations of RB1 gene in embryonal and alveolar rhabdomyosarcoma: special reference to utility of pRB immunoreactivity in differential diagnosis of rhabdomyosarcoma subtype.	J Cancer Res Clin Oncol	15	2008 Oct
embryonal rhabdomyosarcoma AND expression AND RHOA[Gene]	1	Vangl2/RhoA Signaling Pathway Regulates Stem Cell Self-Renewal Programs and Growth in Rhabdomyosarcoma.	Cell Stem Cell	6	2018 Mar 1
embryonal rhabdomyosarcoma AND expression AND SMAD4[Gene]	17439748	Smad4 and ERK2 stimulated by transforming growth factor beta1 in rhabdomyosarcoma.	Chin Med J (Engl)	5	2007 Mar 20
embryonal rhabdomyosarcoma AND expression AND SMAD4[Gene]	17016646	Effects of RNAi-mediated Smad4 silencing on growth and apoptosis of human rhabdomyosarcoma cells.	Int J Oncol	1	2006 Nov
embryonal rhabdomyosarcoma AND expression AND SUFU[Gene]	1	Deregulation of the hedgehog signalling pathway: a possible role for the PTCH and SUFU genes in human rhabdomyoma and rhabdomyosarcoma development.	J Pathol	85	2006 Jan
embryonal rhabdomyosarcoma AND expression AND SUZ12[Gene]	1	High expression of EZH2 as a marker for the differential diagnosis of malignant and benign myogenic tumors.	Sci Rep		2018 Aug 17
embryonal rhabdomyosarcoma AND expression AND TCF3[Gene]	1	MyoD and E-protein heterodimers switch rhabdomyosarcoma cells from an arrested myoblast phase to a differentiated state.	Genes Dev	37	2009 Mar 15
embryonal rhabdomyosarcoma AND expression AND TP53[Gene]	10534762	Genes, chromosomes, and rhabdomyosarcoma.	Genes Chromosomes Cancer	35	1999 Dec
embryonal rhabdomyosarcoma AND expression AND TP53[Gene]	26138366	Integrated genetic and epigenetic analysis defines novel molecular subgroups in rhabdomyosarcoma.	Nat Commun	28	2015 Jul 3
embryonal rhabdomyosarcoma AND expression AND TP53[Gene]	30192230	&lt;i&gt;tp53&lt;/i&gt; deficiency causes a wide tumor spectrum and increases embryonal rhabdomyosarcoma metastasis in zebrafish.	Elife	2	2018 Sep 7
embryonal rhabdomyosarcoma AND expression AND TP53[Gene]	18708938	Diffuse myogenin expression by immunohistochemistry is an independent marker of poor survival in pediatric rhabdomyosarcoma: a tissue microarray study of 71 primary tumors including correlation with molecular phenotype.	Am J Surg Pathol	13	2008 Oct
embryonal rhabdomyosarcoma AND expression AND TP53[Gene]	26029996	Sensitivity to cdk1-inhibition is modulated by p53 status in preclinical models of embryonal tumors.	Oncotarget	10	2015 Jun 20
embryonal rhabdomyosarcoma AND expression AND TP53[Gene]	29702195	Hedgehog signaling negatively co-regulates BH3-only protein Noxa and TAp73 in TP53-mutated cells.	Cancer Lett		2018 Aug 10
embryonal rhabdomyosarcoma AND expression AND TP63[Gene]	1	p63 immunohistochemical staining is limited in soft tissue tumors.	Am J Clin Pathol	12	2011 Nov
embryonal rhabdomyosarcoma AND expression AND TPM3[Gene]	9242365	Actinomycin D treatment leads to differentiation and inhibits proliferation in rhabdomyosarcoma cells.	J Lab Clin Med	4	1997 Jul
embryonal rhabdomyosarcoma AND expression AND TPM3[Gene]	8997525	Low sample volume causes differentiation in human rhabdomyosarcoma cell line RD subjected to electroporation.	Cell Mol Biol (Noisy-le-grand)		1996 Dec
embryonal rhabdomyosarcoma AND expression AND VHL[Gene]	1	Immunostaining of the von Hippel-Lindau gene product in normal and neoplastic human tissues.	Hum Pathol	21	1997 Apr
embryonal rhabdomyosarcoma AND expression AND WIF1[Gene]	1	Hedgehog/Patched-associated rhabdomyosarcoma formation from delta1-expressing mesodermal cells.	Oncogene	3	2016 Jun 2
embryonal rhabdomyosarcoma AND expression AND WT1[Gene]	22152856	Expression of Wilms tumor 1 gene in a variety of pediatric tumors.	J Pediatr Surg	5	2011 Dec
embryonal rhabdomyosarcoma AND expression AND WT1[Gene]	25800978	Oncofetal expression of Wilms' tumor 1 (WT1) protein in human fetal, adult and neoplastic skeletal muscle tissues.	Acta Histochem	3	2015 May-Jun
embryonal rhabdomyosarcoma AND expression AND WT1[Gene]	24249259	Inactivation of the tumor suppressor WTX in a subset of pediatric tumors.	Genes Chromosomes Cancer	2	2014 Jan
embryonal rhabdomyosarcoma AND expression AND WT1[Gene]	12379755	The expression of WT1 in the differentiation of rhabdomyosarcoma from other pediatric small round blue cell tumors.	Mod Pathol	15	2002 Oct
embryonal rhabdomyosarcoma AND expression AND WT1[Gene]	7495283	Detection of chimeric transcripts in desmoplastic small round cell tumor and related developmental tumors by reverse transcriptase polymerase chain reaction. A specific diagnostic assay.	Am J Pathol	15	1995 Dec
embryonal rhabdomyosarcoma AND expression AND WT1[Gene]	18469708	Mullerian adenosarcomas: an immunophenotypic analysis of 35 cases.	Am J Surg Pathol	12	2008 Jul
embryonal rhabdomyosarcoma AND expression AND WT1[Gene]	9841704	Expression of WT1 in pediatric small cell tumors: report of two cases with a possible mesothelial origin.	Pediatr Dev Pathol		1999 Jan-Feb
glioma AND expression AND ABI1[Gene]	1	Reciprocal regulation of Abl kinase by Crk Y251 and Abi1 controls invasive phenotypes in glioblastoma.	Oncotarget	5	2015 Nov 10
glioma AND expression AND APC[Gene]	22919349	Potential canonical wnt pathway activation in high-grade astrocytomas.	ScientificWorldJournal	9	2012
glioma AND expression AND APC[Gene]	26191234	Gene mutation profiling of primary glioblastoma through multiple tumor biopsy guided by 1H-magnetic resonance spectroscopy.	Int J Clin Exp Pathol	7	2015
glioma AND expression AND APC[Gene]	25307863	Stromal Indian hedgehog signaling is required for intestinal adenoma formation in mice.	Gastroenterology	7	2015 Jan
glioma AND expression AND APC[Gene]	23525311	CTNNB1, AXIN1 and APC expression analysis of different medulloblastoma variants.	Clinics (Sao Paulo)	6	2013
glioma AND expression AND APC[Gene]	27741356	MIIP haploinsufficiency induces chromosomal instability and promotes tumour progression in colorectal cancer.	J Pathol	3	2017 Jan
glioma AND expression AND APC[Gene]	25395662	Tumor suppression by miR-26 overrides potential oncogenic activity in intestinal tumorigenesis.	Genes Dev	22	2014 Dec 1
glioma AND expression AND APC[Gene]	27815074	MicroRNA-106a-5p facilitates human glioblastoma cell proliferation and invasion by targeting adenomatosis polyposis coli protein.	Biochem Biophys Res Commun	2	2016 Dec 9
glioma AND expression AND APC[Gene]	27424145	Tumor antigen-specific T cells for immune monitoring of dendritic cell-treated glioblastoma patients.	Cytotherapy	2	2016 Sep
glioma AND expression AND APC[Gene]	26476273	Gamma-secretase-independent role for cadherin-11 in neurotrophin receptor p75 (p75(NTR)) mediated glioblastoma cell migration.	Mol Cell Neurosci	2	2015 Nov
glioma AND expression AND APC[Gene]	25938542	CDC20 maintains tumor initiating cells.	Oncotarget	19	2015 May 30
glioma AND expression AND APC[Gene]	22589395	Differential expression of 2',3'-cyclic-nucleotide 3'-phosphodiesterase and neural lineage markers correlate with glioblastoma xenograft infiltration and patient survival.	Clin Cancer Res	18	2012 Jul 1
glioma AND expression AND APC[Gene]	20418911	Inhibition of gliomagenesis and attenuation of mitotic transition by MIIP.	Oncogene	14	2010 Jun 17
glioma AND expression AND APC[Gene]	24695855	SHH, WNT, and NOTCH pathways in medulloblastoma: when cancer stem cells maintain self-renewal and differentiation properties.	Childs Nerv Syst	12	2014 Jul
glioma AND expression AND APC[Gene]	23826121	CARP-1 functional mimetics: a novel class of small molecule inhibitors of medulloblastoma cell growth.	PLoS One	11	2013
glioma AND expression AND APC[Gene]	29753700	Spectrum and prevalence of genetic predisposition in medulloblastoma: a retrospective genetic study and prospective validation in a clinical trial cohort.	Lancet Oncol	10	2018 Jun
glioma AND expression AND APC[Gene]	26547933	ST3GAL1-Associated Transcriptomic Program in Glioblastoma Tumor Growth, Invasion, and Prognosis.	J Natl Cancer Inst	10	2016 Feb
glioma AND expression AND APC[Gene]	23974731	Relationship among expression of basic-fibroblast growth factor, MTDH/astrocyte elevated gene-1, adenomatous polyposis coli, matrix metalloproteinase 9,and COX-2 markers with prognostic factors in prostate carcinomas.	Niger J Clin Pract	1	2013 Oct-Dec
glioma AND expression AND APC[Gene]	31266783	Immunologic Profiling of Mutational and Transcriptional Subgroups in Pediatric and Adult High-Grade Gliomas.	Cancer Immunol Res		2019 Sep
glioma AND expression AND APC[Gene]	30523493	Immunohistochemical detection of ALK protein identifies APC mutated medulloblastoma and differentiates the WNT-activated medulloblastoma from other types of posterior fossa childhood tumors.	Brain Tumor Pathol		2019 Jan
glioma AND expression AND APC[Gene]	27592301	The ubiquitin-proteasome system and chromosome 17 in cerebellar granule cells and medulloblastoma subgroups.	Cell Mol Life Sci		2017 Feb
glioma AND expression AND APOBEC3B[Gene]	22825724	Identification of a novel population in high-grade oligodendroglial tumors not deleted on 1p/19q using array CGH.	J Neurooncol	5	2012 Sep
glioma AND expression AND APOBEC3B[Gene]	30226610	APOBEC3B is expressed in human glioma, and influences cell proliferation and temozolomide resistance.	Oncol Rep		2018 Nov
glioma AND expression AND ARID1A[Gene]	26357005	ETV/Pea3 family transcription factor-encoding genes are overexpressed in CIC-mutant oligodendrogliomas.	Genes Chromosomes Cancer	9	2015 Dec
glioma AND expression AND ARID1A[Gene]	29374058	Glioma tumor suppressor candidate region gene 1 (GLTSCR1) and its paralog GLTSCR1-like form SWI/SNF chromatin remodeling subcomplexes.	J Biol Chem	8	2018 Mar 16
glioma AND expression AND ARID1A[Gene]	23698369	BAF complexes facilitate decatenation of DNA by topoisomerase IIα.	Nature	77	2013 May 30
glioma AND expression AND ARID1A[Gene]	30051528	The genetic landscape of anaplastic pleomorphic xanthoastrocytoma.	Brain Pathol	7	2019 Jan
glioma AND expression AND ARID1A[Gene]	30333046	TERT promoter wild-type glioblastomas show distinct clinical features and frequent PI3K pathway mutations.	Acta Neuropathol Commun	2	2018 Oct 17
glioma AND expression AND ARID1A[Gene]	26524630	Genomic dynamics associated with malignant transformation in IDH1 mutated gliomas.	Oncotarget	2	2015 Dec 22
glioma AND expression AND ARID1A[Gene]	23222069	[Chromatin remodeling defects and cancer: the SWI/SNF example].	Bull Cancer	2	2012 Dec
glioma AND expression AND ARID1A[Gene]	30077762	A four-protein expression prognostic signature predicts clinical outcome of lower-grade glioma.	Gene		2018 Dec 30
glioma AND expression AND ARID1B[Gene]	1	[Chromatin remodeling defects and cancer: the SWI/SNF example].	Bull Cancer	2	2012 Dec
glioma AND expression AND ARID2[Gene]	29374058	Glioma tumor suppressor candidate region gene 1 (GLTSCR1) and its paralog GLTSCR1-like form SWI/SNF chromatin remodeling subcomplexes.	J Biol Chem	8	2018 Mar 16
