query_text	PMid	pmcrefcount	title	source	pubdate
embryonal rhabdomyosarcoma AND expression AND DCAF15[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND DDB1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND DES[Gene]	27413008	2	The RhoE/ROCK/ARHGAP25 signaling pathway controls cell invasion by inhibition of Rac activity.	Mol Biol Cell	2016 Sep 1
embryonal rhabdomyosarcoma AND expression AND DES[Gene]	28120026		[Blast-like tumor tissue in cervical lymph node with expression of placental alkaline phosphatase].	Pathologe	2017 Mar
embryonal rhabdomyosarcoma AND expression AND DGAT1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND DLK1[Gene]	28923841	6	A Novel Notch-YAP Circuit Drives Stemness and Tumorigenesis in Embryonal Rhabdomyosarcoma.	Mol Cancer Res	2017 Dec
embryonal rhabdomyosarcoma AND expression AND DLK1[Gene]	24173021	6	The paternally imprinted DLK1-GTL2 locus is differentially methylated in embryonal and alveolar rhabdomyosarcomas.	Int J Oncol	2014 Jan
embryonal rhabdomyosarcoma AND expression AND DLK1[Gene]	22289848	20	A set of imprinted genes required for normal body growth also promotes growth of rhabdomyosarcoma cells.	Pediatr Res	2012 Jan
embryonal rhabdomyosarcoma AND expression AND DMWD[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND DNM3OS[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND DOK7[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND DSCR8[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND DUSP2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND ENO3[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND EXOSC8[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND FAM153B[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND FAM178A[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND FAR2P1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND FBN2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	22142829	78	Oncogene mutation profiling of pediatric solid tumors reveals significant subsets of embryonal rhabdomyosarcoma and neuroblastoma with mutated genes in growth signaling pathways.	Clin Cancer Res	2012 Feb 1
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	21412928	38	High-resolution array CGH identifies common mechanisms that drive embryonal rhabdomyosarcoma pathogenesis.	Genes Chromosomes Cancer	2011 Jun
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	28058850	3	Molecular diagnostics in the management of rhabdomyosarcoma.	Expert Rev Mol Diagn	2017 Feb
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	26138366	28	Integrated genetic and epigenetic analysis defines novel molecular subgroups in rhabdomyosarcoma.	Nat Commun	2015 Jul 3
embryonal rhabdomyosarcoma AND expression AND FGFR4[Gene]	22648271	20	FGFR4 blockade exerts distinct antitumorigenic effects in human embryonal versus alveolar rhabdomyosarcoma.	Clin Cancer Res	2012 Jul 15
embryonal rhabdomyosarcoma AND expression AND FITM1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND FLNC[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND FNDC5[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND GPC3[Gene]	25344940	6	Glypican 3 expression in pediatric malignant solid tumors.	Eur J Pediatr Surg	2015 Feb
embryonal rhabdomyosarcoma AND expression AND GPC3[Gene]	21493758	6	Glypican-3 is expressed in rhabdomyosarcomas but not adult spindle cell and pleomorphic sarcomas.	J Clin Pathol	2011 Jul
embryonal rhabdomyosarcoma AND expression AND GPC3[Gene]	30867793		Glypican-3 expression in malignant small round cell tumors.	Oncol Lett	2019 Mar
embryonal rhabdomyosarcoma AND expression AND GTF2F2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND GTF2H2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND HDAC3[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	24618610	9	Myogenin, AP2β, NOS-1, and HMGA2 are surrogate markers of fusion status in rhabdomyosarcoma: a report from the soft tissue sarcoma committee of the children's oncology group.	Am J Surg Pathol	2014 May
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	19147825	70	Molecular classification of rhabdomyosarcoma--genotypic and phenotypic determinants of diagnosis: a report from the Children's Oncology Group.	Am J Pathol	2009 Feb
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	18043289	4	Malignant ectomesenchymoma: genetic profile reflects rhabdomyosarcomatous differentiation.	Diagn Mol Pathol	2007 Dec
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	23536553	12	Oncogenic NRAS, required for pathogenesis of embryonic rhabdomyosarcoma, relies upon the HMGA2-IGF2BP2 pathway.	Cancer Res	2013 May 15
embryonal rhabdomyosarcoma AND expression AND HMGA2[Gene]	26125949	1	The Role of Immunohistochemistry in Rhabdomyosarcoma Diagnosis Using Tissue Microarray Technology and a Xenograft Model.	Fetal Pediatr Pathol	2015
embryonal rhabdomyosarcoma AND expression AND HMGB1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND HNRNPDL[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND HRAS[Gene]	23615277	22	A novel chemical screening strategy in zebrafish identifies common pathways in embryogenesis and rhabdomyosarcoma development.	Development	2013 Jun
embryonal rhabdomyosarcoma AND expression AND HRAS[Gene]	26872011	1	Frequent HRAS Mutations in Malignant Ectomesenchymoma: Overlapping Genetic Abnormalities With Embryonal Rhabdomyosarcoma.	Am J Surg Pathol	2016 Jul
embryonal rhabdomyosarcoma AND expression AND HRAS[Gene]	26572961	1	Paternal uniparental disomy 11p15.5 in the pancreatic nodule of an infant with Costello syndrome: Shared mechanism for hyperinsulinemic hypoglycemia in neonates with Costello and Beckwith-Wiedemann syndrome and somatic loss of heterozygosity in Costello syndrome driving clonal expansion.	Am J Med Genet A	2016 Mar
embryonal rhabdomyosarcoma AND expression AND HRAS[Gene]	10475130		Analysis of p53 and K-ras genes and their proteins in a sarcoma botryoides of the uterine cervix.	Eur J Gynaecol Oncol	1999
embryonal rhabdomyosarcoma AND expression AND IGF2-AS[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	21915858	8	Induction of a regenerative microenvironment in skeletal muscle is sufficient to induce embryonal rhabdomyosarcoma in p53-deficient mice.	J Pathol	2012 Jan
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	10404060	8	"High frequency of inactivation of the imprinted H19 gene in ""sporadic"" hepatoblastoma."	Int J Cancer	1999 Aug 12
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	24173021	6	The paternally imprinted DLK1-GTL2 locus is differentially methylated in embryonal and alveolar rhabdomyosarcomas.	Int J Oncol	2014 Jan
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	7614476	6	Maintenance of normal imprinting of H19 and IGF2 genes in neuroblastoma.	Cancer Res	1995 Aug 1
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	9680387	5	Murine Stim1 maps to distal chromosome 7 and is not imprinted.	Mamm Genome	1998 Aug
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	8040287	45	Activation of an imprinted allele of the insulin-like growth factor II gene implicated in rhabdomyosarcoma.	J Clin Invest	1994 Jul
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	10534762	35	Genes, chromosomes, and rhabdomyosarcoma.	Genes Chromosomes Cancer	1999 Dec
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	23079386	3	Investigation of PAX3/7-FKHR fusion genes and IGF2 gene expression in rhabdomyosarcoma tumors.	Growth Horm IGF Res	2012 Dec
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	21744995	3	Rhabdomyosarcoma: molecular analysis of Igf2, MyoD1 and Myogenin expression.	Neoplasma	2011
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	10935489	22	Disruption of imprinted genes at chromosome region 11p15.5 in paediatric rhabdomyosarcoma.	Neoplasia	1999 Oct
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	9570364	21	Biallelic expression of the H19 and IGF2 genes in hepatocellular carcinoma.	Cancer Lett	1997 Nov 11
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	7728748	21	Loss of imprinting in hepatoblastoma.	Cancer Res	1995 May 1
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	22289848	20	A set of imprinted genes required for normal body growth also promotes growth of rhabdomyosarcoma cells.	Pediatr Res	2012 Jan
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	18788888	15	Expression of insulin-like growth factor pathway proteins in rhabdomyosarcoma: IGF-2 expression is associated with translocation-negative tumors.	Pediatr Dev Pathol	2009 Mar-Apr
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	12234381	13	Reactivation of a silenced H19 gene in human rhabdomyosarcoma by demethylation of DNA but not by histone hyperacetylation.	Mol Cancer	2002 Jul 11
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	26572961	1	Paternal uniparental disomy 11p15.5 in the pancreatic nodule of an infant with Costello syndrome: Shared mechanism for hyperinsulinemic hypoglycemia in neonates with Costello and Beckwith-Wiedemann syndrome and somatic loss of heterozygosity in Costello syndrome driving clonal expansion.	Am J Med Genet A	2016 Mar
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	7527480	1	On the oncodevelopmental role of human imprinted genes.	Med Hypotheses	1994 Aug
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	27345568		Decreased CDKN1C Expression in Congenital Alveolar Rhabdomyosarcoma Associated with Beckwith-Wiedemann Syndrome.	Indian J Pediatr	2016 Nov
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	26056800		Insulin-like Growth Factor 2 Gene Expression Molecularly Differentiates Pleuropulmonary Blastoma and Embryonal Rhabdomyosarcoma.	J Pediatr Hematol Oncol	2015 Aug
embryonal rhabdomyosarcoma AND expression AND IGF2[Gene]	10095436		[Evidence of genetic alterations in chromosome 11 in embryonal and alveolar rhabdomyosarcoma].	Verh Dtsch Ges Pathol	1998
embryonal rhabdomyosarcoma AND expression AND IL17B[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND INPPL1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND JSRP1[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND KIAA0226L[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND KLHL41[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND KREMEN2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND LAMA2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND LENG8[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND LINC00377[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND LINC00545[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND LOXL2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND LOXL3[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND LOXL4[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND LRPPRC[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MAGEA12[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MAGEA3[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MAGEA6[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MAMSTR[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MAP2K1[Gene]	1	78	Oncogene mutation profiling of pediatric solid tumors reveals significant subsets of embryonal rhabdomyosarcoma and neuroblastoma with mutated genes in growth signaling pathways.	Clin Cancer Res	2012 Feb 1
embryonal rhabdomyosarcoma AND expression AND MAP3K7CL[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MAPK15[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MEG3[Gene]	1	6	The paternally imprinted DLK1-GTL2 locus is differentially methylated in embryonal and alveolar rhabdomyosarcomas.	Int J Oncol	2014 Jan
embryonal rhabdomyosarcoma AND expression AND MEST[Gene]	1	20	A set of imprinted genes required for normal body growth also promotes growth of rhabdomyosarcoma cells.	Pediatr Res	2012 Jan
embryonal rhabdomyosarcoma AND expression AND MIR503HG[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MMP23B[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MRLN[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MSC[Gene]	26384300	7	Constitutive activation of MET signaling impairs myogenic differentiation of rhabdomyosarcoma and promotes its development and progression.	Oncotarget	2015 Oct 13
embryonal rhabdomyosarcoma AND expression AND MSC[Gene]	25625846	18	Overexpression of HOX genes is prevalent in Ewing sarcoma and is associated with altered epigenetic regulation of developmental transcription programs.	Epigenetics	2014 Dec
embryonal rhabdomyosarcoma AND expression AND MSTN[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MUS81[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MYBPH[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MYF6[Gene]	24272621	18	Transactivating mutation of the MYOD1 gene is a frequent event in adult spindle cell rhabdomyosarcoma.	J Pathol	2014 Feb
embryonal rhabdomyosarcoma AND expression AND MYF6[Gene]	12082533	15	Identification of a novel gene NCRMS on chromosome 12q21 with differential expression between rhabdomyosarcoma subtypes.	Oncogene	2002 May 2
embryonal rhabdomyosarcoma AND expression AND MYF6[Gene]	1764365	12	Expression of members of the myf gene family in human rhabdomyosarcomas.	Br J Cancer	1991 Dec
embryonal rhabdomyosarcoma AND expression AND MYF6[Gene]	15489287	117	Alveolar rhabdomyosarcomas in conditional Pax3:Fkhr mice: cooperativity of Ink4a/ARF and Trp53 loss of function.	Genes Dev	2004 Nov 1
embryonal rhabdomyosarcoma AND expression AND MYH3[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MYL4[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MYLPF[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	23733015	8	Identification of target genes of PAX3-FOXO1 in alveolar rhabdomyosarcoma.	Oncol Rep	2013 Aug
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	27764816	7	DNMT3B in vitro knocking-down is able to reverse embryonal rhabdomyosarcoma cell phenotype through inhibition of proliferation and induction of myogenic differentiation.	Oncotarget	2016 Nov 29
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	24554430	6	RAGE signaling deficiency in rhabdomyosarcoma cells causes upregulation of PAX7 and uncontrolled proliferation.	J Cell Sci	2014 Apr 15
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	25087979	52	The Hippo transducer YAP1 transforms activated satellite cells and is a potent effector of embryonal rhabdomyosarcoma formation.	Cancer Cell	2014 Aug 11
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	28985758	4	Pharmacological targeting of the ephrin receptor kinase signalling by GLPG1790 in vitro and in vivo reverts oncophenotype, induces myogenic differentiation and radiosensitizes embryonal rhabdomyosarcoma cells.	J Hematol Oncol	2017 Oct 6
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	24793135	31	A recurrent neomorphic mutation in MYOD1 defines a clinically aggressive subset of embryonal rhabdomyosarcoma associated with PI3K-AKT pathway mutations.	Nat Genet	2014 Jun
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	28058850	3	Molecular diagnostics in the management of rhabdomyosarcoma.	Expert Rev Mol Diagn	2017 Feb
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	27562493	3	MYOD1 (L122R) mutations are associated with spindle cell and sclerosing rhabdomyosarcomas with aggressive clinical outcomes.	Mod Pathol	2016 Dec
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	25800978	3	Oncofetal expression of Wilms' tumor 1 (WT1) protein in human fetal, adult and neoplastic skeletal muscle tissues.	Acta Histochem	2015 May-Jun
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	22882949	3	Rhabdomyosarcoma of the breast: a clinicopathologic study and review of the literature.	Chin Med J (Engl)	2012 Jul
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	22577581	3	Activating Death Receptor DR5 as a Therapeutic Strategy for Rhabdomyosarcoma.	ISRN Oncol	2012
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	22710712	21	Alveolar rhabdomyosarcoma-associated proteins PAX3/FOXO1A and PAX7/FOXO1A suppress the transcriptional activity of MyoD-target genes in muscle stem cells.	Oncogene	2013 Jan 31
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	24349741	2	The small round blue cell tumors of the sinonasal area: histological and immunohistochemical findings.	Iran Red Crescent Med J	2013 Jun
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	23336377	2	[Rhabdomyosarcoma in middle to old-aged patients: analysis of clinicopathological features and prognosis in 76 cases].	Zhonghua Zhong Liu Za Zhi	2012 Dec
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	23728344	19	Failure to downregulate the BAF53a subunit of the SWI/SNF chromatin remodeling complex contributes to the differentiation block in rhabdomyosarcoma.	Oncogene	2014 May 1
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	24272621	18	Transactivating mutation of the MYOD1 gene is a frequent event in adult spindle cell rhabdomyosarcoma.	J Pathol	2014 Feb
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	25427715	17	Deep Sequencing the microRNA profile in rhabdomyosarcoma reveals down-regulation of miR-378 family members.	BMC Cancer	2014 Nov 25
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	23999248	11	Characterization of Wnt/β-catenin signaling in rhabdomyosarcoma.	Lab Invest	2013 Oct
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	30604891		The expanding morphological and genetic spectrum of MYOD1-mutant spindle cell/sclerosing rhabdomyosarcomas: a clinicopathological and molecular comparison of mutated and non-mutated cases.	Histopathology	2019 May
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	30098515		Clinicopathologic features of 300 rhabdomyosarcomas with emphasis upon differential expression of skeletal muscle specific markers in the various subtypes: A single institutional experience.	Ann Diagn Pathol	2018 Oct
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	24618610	9	Myogenin, AP2β, NOS-1, and HMGA2 are surrogate markers of fusion status in rhabdomyosarcoma: a report from the soft tissue sarcoma committee of the children's oncology group.	Am J Surg Pathol	2014 May
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	15536621	9	Rhabdomyosarcoma: value of myogenin expression analysis and molecular testing in diagnosing the alveolar subtype: an analysis of 109 paraffin-embedded specimens.	Cancer	2004 Dec 15
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	9836066	6	Polymerase chain reaction-based diagnosis of rhabdomyosarcomas: comparison of fetal type acetylcholine receptor subunits and myogenin.	Diagn Mol Pathol	1998 Jun
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	11688574	36	Are myogenin and myoD1 expression specific for rhabdomyosarcoma? A study of 150 cases, with emphasis on spindle cell mimics.	Am J Surg Pathol	2001 Sep
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	1717137	36	Muscle-specific gene expression in rhabdomyosarcomas and stages of human fetal skeletal muscle development.	Cancer Res	1991 Oct 1
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	12218574	30	Sclerosing rhabdomyosarcoma in adults: report of four cases of a hyalinizing, matrix-rich variant of rhabdomyosarcoma that may be confused with osteosarcoma, chondrosarcoma, or angiosarcoma.	Am J Surg Pathol	2002 Sep
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	21744995	3	Rhabdomyosarcoma: molecular analysis of Igf2, MyoD1 and Myogenin expression.	Neoplasma	2011
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	23435416	29	JARID2 is a direct target of the PAX3-FOXO1 fusion protein and inhibits myogenic differentiation of rhabdomyosarcoma cells.	Oncogene	2014 Feb 27
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	10666368	29	Strong immunostaining for myogenin in rhabdomyosarcoma is significantly associated with tumors of the alveolar subclass.	Am J Pathol	2000 Feb
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	12783965	28	Myogenin and MyoD1 expression in paediatric rhabdomyosarcomas.	J Clin Pathol	2003 Jun
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	11007039	28	Myogenin is a specific marker for rhabdomyosarcoma: an immunohistochemical study in paraffin-embedded tissues.	Mod Pathol	2000 Sep
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	12426678	2	Myogenin--a more specific target for RT-PCR detection of rhabdomyosarcoma than MyoD1.	Med Pediatr Oncol	2003 Jan
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	10853028	2	A new human pleomorphic rhabdomyosarcoma cell-line, HS-RMS-1, exhibiting MyoD1 and myogenin.	Int J Oncol	2000 Jul
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	24272621	18	Transactivating mutation of the MYOD1 gene is a frequent event in adult spindle cell rhabdomyosarcoma.	J Pathol	2014 Feb
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	18708938	13	Diffuse myogenin expression by immunohistochemistry is an independent marker of poor survival in pediatric rhabdomyosarcoma: a tissue microarray study of 71 primary tumors including correlation with molecular phenotype.	Am J Surg Pathol	2008 Oct
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	1764365	12	Expression of members of the myf gene family in human rhabdomyosarcomas.	Br J Cancer	1991 Dec
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	11675006	11	Identification of new genes related to the myogenic differentiation arrest of human rhabdomyosarcoma cells.	Gene	2001 Aug 22
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	10095433		[Comparison of the transcription of the fetal type acetylcholine receptor and myogenin in rhabdomyosarcoma].	Verh Dtsch Ges Pathol	1998
embryonal rhabdomyosarcoma AND expression AND NAT9[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND NCKAP5L[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND NDUFAF5[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND NEB[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND NGFR[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND NKAIN4[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND NNAT[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND NPTX2[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND NPY[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND OGN[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND PCDH8[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND PDLIM7[Gene]	NA	NA	NA	NA	NA
embryonal rhabdomyosarcoma AND expression AND PHRF1[Gene]	NA	NA	NA	NA	NA
