query_text	PMid	pmcrefcount	title	source	pubdate
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	23733015	8	Identification of target genes of PAX3-FOXO1 in alveolar rhabdomyosarcoma.	Oncol Rep	2013 Aug
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	27764816	7	DNMT3B in vitro knocking-down is able to reverse embryonal rhabdomyosarcoma cell phenotype through inhibition of proliferation and induction of myogenic differentiation.	Oncotarget	2016 Nov 29
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	24554430	6	RAGE signaling deficiency in rhabdomyosarcoma cells causes upregulation of PAX7 and uncontrolled proliferation.	J Cell Sci	2014 Apr 15
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	25087979	52	The Hippo transducer YAP1 transforms activated satellite cells and is a potent effector of embryonal rhabdomyosarcoma formation.	Cancer Cell	2014 Aug 11
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	28985758	4	Pharmacological targeting of the ephrin receptor kinase signalling by GLPG1790 in vitro and in vivo reverts oncophenotype, induces myogenic differentiation and radiosensitizes embryonal rhabdomyosarcoma cells.	J Hematol Oncol	2017 Oct 6
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	24793135	31	A recurrent neomorphic mutation in MYOD1 defines a clinically aggressive subset of embryonal rhabdomyosarcoma associated with PI3K-AKT pathway mutations.	Nat Genet	2014 Jun
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	28058850	3	Molecular diagnostics in the management of rhabdomyosarcoma.	Expert Rev Mol Diagn	2017 Feb
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	27562493	3	MYOD1 (L122R) mutations are associated with spindle cell and sclerosing rhabdomyosarcomas with aggressive clinical outcomes.	Mod Pathol	2016 Dec
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	25800978	3	Oncofetal expression of Wilms' tumor 1 (WT1) protein in human fetal, adult and neoplastic skeletal muscle tissues.	Acta Histochem	2015 May-Jun
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	22882949	3	Rhabdomyosarcoma of the breast: a clinicopathologic study and review of the literature.	Chin Med J (Engl)	2012 Jul
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	22577581	3	Activating Death Receptor DR5 as a Therapeutic Strategy for Rhabdomyosarcoma.	ISRN Oncol	2012
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	22710712	21	Alveolar rhabdomyosarcoma-associated proteins PAX3/FOXO1A and PAX7/FOXO1A suppress the transcriptional activity of MyoD-target genes in muscle stem cells.	Oncogene	2013 Jan 31
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	24349741	2	The small round blue cell tumors of the sinonasal area: histological and immunohistochemical findings.	Iran Red Crescent Med J	2013 Jun
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	23336377	2	[Rhabdomyosarcoma in middle to old-aged patients: analysis of clinicopathological features and prognosis in 76 cases].	Zhonghua Zhong Liu Za Zhi	2012 Dec
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	23728344	19	Failure to downregulate the BAF53a subunit of the SWI/SNF chromatin remodeling complex contributes to the differentiation block in rhabdomyosarcoma.	Oncogene	2014 May 1
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	24272621	18	Transactivating mutation of the MYOD1 gene is a frequent event in adult spindle cell rhabdomyosarcoma.	J Pathol	2014 Feb
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	25427715	17	Deep Sequencing the microRNA profile in rhabdomyosarcoma reveals down-regulation of miR-378 family members.	BMC Cancer	2014 Nov 25
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	23999248	11	Characterization of Wnt/β-catenin signaling in rhabdomyosarcoma.	Lab Invest	2013 Oct
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	30604891		The expanding morphological and genetic spectrum of MYOD1-mutant spindle cell/sclerosing rhabdomyosarcomas: a clinicopathological and molecular comparison of mutated and non-mutated cases.	Histopathology	2019 May
embryonal rhabdomyosarcoma AND expression AND MYOD1[Gene]	30098515		Clinicopathologic features of 300 rhabdomyosarcomas with emphasis upon differential expression of skeletal muscle specific markers in the various subtypes: A single institutional experience.	Ann Diagn Pathol	2018 Oct
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	24618610	9	Myogenin, AP2β, NOS-1, and HMGA2 are surrogate markers of fusion status in rhabdomyosarcoma: a report from the soft tissue sarcoma committee of the children's oncology group.	Am J Surg Pathol	2014 May
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	15536621	9	Rhabdomyosarcoma: value of myogenin expression analysis and molecular testing in diagnosing the alveolar subtype: an analysis of 109 paraffin-embedded specimens.	Cancer	2004 Dec 15
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	9836066	6	Polymerase chain reaction-based diagnosis of rhabdomyosarcomas: comparison of fetal type acetylcholine receptor subunits and myogenin.	Diagn Mol Pathol	1998 Jun
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	11688574	36	Are myogenin and myoD1 expression specific for rhabdomyosarcoma? A study of 150 cases, with emphasis on spindle cell mimics.	Am J Surg Pathol	2001 Sep
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	1717137	36	Muscle-specific gene expression in rhabdomyosarcomas and stages of human fetal skeletal muscle development.	Cancer Res	1991 Oct 1
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	12218574	30	Sclerosing rhabdomyosarcoma in adults: report of four cases of a hyalinizing, matrix-rich variant of rhabdomyosarcoma that may be confused with osteosarcoma, chondrosarcoma, or angiosarcoma.	Am J Surg Pathol	2002 Sep
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	21744995	3	Rhabdomyosarcoma: molecular analysis of Igf2, MyoD1 and Myogenin expression.	Neoplasma	2011
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	23435416	29	JARID2 is a direct target of the PAX3-FOXO1 fusion protein and inhibits myogenic differentiation of rhabdomyosarcoma cells.	Oncogene	2014 Feb 27
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	10666368	29	Strong immunostaining for myogenin in rhabdomyosarcoma is significantly associated with tumors of the alveolar subclass.	Am J Pathol	2000 Feb
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	12783965	28	Myogenin and MyoD1 expression in paediatric rhabdomyosarcomas.	J Clin Pathol	2003 Jun
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	11007039	28	Myogenin is a specific marker for rhabdomyosarcoma: an immunohistochemical study in paraffin-embedded tissues.	Mod Pathol	2000 Sep
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	12426678	2	Myogenin--a more specific target for RT-PCR detection of rhabdomyosarcoma than MyoD1.	Med Pediatr Oncol	2003 Jan
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	10853028	2	A new human pleomorphic rhabdomyosarcoma cell-line, HS-RMS-1, exhibiting MyoD1 and myogenin.	Int J Oncol	2000 Jul
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	24272621	18	Transactivating mutation of the MYOD1 gene is a frequent event in adult spindle cell rhabdomyosarcoma.	J Pathol	2014 Feb
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	18708938	13	Diffuse myogenin expression by immunohistochemistry is an independent marker of poor survival in pediatric rhabdomyosarcoma: a tissue microarray study of 71 primary tumors including correlation with molecular phenotype.	Am J Surg Pathol	2008 Oct
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	1764365	12	Expression of members of the myf gene family in human rhabdomyosarcomas.	Br J Cancer	1991 Dec
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	11675006	11	Identification of new genes related to the myogenic differentiation arrest of human rhabdomyosarcoma cells.	Gene	2001 Aug 22
embryonal rhabdomyosarcoma AND expression AND MYOG[Gene]	10095433		[Comparison of the transcription of the fetal type acetylcholine receptor and myogenin in rhabdomyosarcoma].	Verh Dtsch Ges Pathol	1998
embryonal rhabdomyosarcoma AND expression AND SGCA[Gene]	1	20	Mice lacking dystrophin or alpha sarcoglycan spontaneously develop embryonal rhabdomyosarcoma with cancer-associated p53 mutations and alternatively spliced or mutant Mdm2 transcripts.	Am J Pathol	2010 Jan
embryonal rhabdomyosarcoma AND expression AND SPRY2[Gene]	1	2	SPRY2 is a novel MET interactor that regulates metastatic potential and differentiation in rhabdomyosarcoma.	Cell Death Dis	2018 Feb 14
embryonal rhabdomyosarcoma AND expression AND VGLL2[Gene]	1	3	Molecular diagnostics in the management of rhabdomyosarcoma.	Expert Rev Mol Diagn	2017 Feb
glioma (astrocytoma) AND expression AND ALOX15[Gene]	1	19	Silencing IL-13Rα2 promotes glioblastoma cell death via endogenous signaling.	Mol Cancer Ther	2011 Jul
glioma (astrocytoma) AND expression AND ATP1A3[Gene]	1	15	Quantitative proteomic Isotope-Coded Protein Label (ICPL) analysis reveals alteration of several functional processes in the glioblastoma.	J Proteomics	2012 Jul 16
glioma (astrocytoma) AND expression AND CD163[Gene]	28073370	8	Expression site of P2RY12 in residential microglial cells in astrocytomas correlates with M1 and M2 marker expression and tumor grade.	Acta Neuropathol Commun	2017 Jan 10
glioma (astrocytoma) AND expression AND CD163[Gene]	26769142	7	Telomere profiles and tumor-associated macrophages with different immune signatures affect prognosis in glioblastoma.	Mod Pathol	2016 Mar
glioma (astrocytoma) AND expression AND CD163[Gene]	23828240	52	Increase in tumor-associated macrophages after antiangiogenic therapy is associated with poor survival among patients with recurrent glioblastoma.	Neuro Oncol	2013 Aug
glioma (astrocytoma) AND expression AND CD163[Gene]	27101800	5	A reappraisal of macrophage polarization in glioblastoma: Histopathological and immunohistochemical findings and review of the literature.	Pathol Res Pract	2016 Jun
glioma (astrocytoma) AND expression AND CD163[Gene]	23741072	45	Glioma grade is associated with the accumulation and activity of cells bearing M2 monocyte markers.	Clin Cancer Res	2013 Jul 15
glioma (astrocytoma) AND expression AND CD163[Gene]	28283801	4	Serum amyloid A1 is upregulated in human glioblastoma.	J Neurooncol	2017 May
glioma (astrocytoma) AND expression AND CD163[Gene]	22098621	4	Phagocytic properties in tumor astrocytes.	Neuropathology	2012 Jun
glioma (astrocytoma) AND expression AND CD163[Gene]	30467920	2	Persistent restoration to the immunosupportive tumor microenvironment in glioblastoma by bevacizumab.	Cancer Sci	2019 Feb
glioma (astrocytoma) AND expression AND CD163[Gene]	23331472	2	Characterization of microglia/macrophages in gliomas developed in S-100β-v-erbB transgenic rats.	Neuropathology	2013 Oct
glioma (astrocytoma) AND expression AND CD163[Gene]	26180083	19	Serum exosomes and cytokines promote a T-helper cell type 2 environment in the peripheral blood of glioblastoma patients.	Neuro Oncol	2016 Feb
glioma (astrocytoma) AND expression AND CD163[Gene]	28569747	17	Tumour-associated macrophages secrete pleiotrophin to promote PTPRZ1 signalling in glioblastoma stem cells for tumour growth.	Nat Commun	2017 Jun 1
glioma (astrocytoma) AND expression AND CD163[Gene]	28259657	14	Expression of iNOS, CD163 and ARG-1 taken as M1 and M2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma.	Neurosci Lett	2017 Apr 3
glioma (astrocytoma) AND expression AND CD163[Gene]	24859792	14	Chemokine expression profile of freshly isolated human glioblastoma-associated macrophages/microglia.	Oncol Rep	2014 Jul
glioma (astrocytoma) AND expression AND CD163[Gene]	28612394	10	Tumor associated CD70 expression is involved in promoting tumor migration and macrophage infiltration in GBM.	Int J Cancer	2017 Oct 1
glioma (astrocytoma) AND expression AND CD163[Gene]	29302887	1	Analysis of immunobiologic markers in primary and recurrent glioblastoma.	J Neurooncol	2018 Apr
glioma (astrocytoma) AND expression AND CD163[Gene]	28789475	1	Expression of CD70 (CD27L) Is Associated With Epithelioid and Sarcomatous Features in IDH-Wild-Type Glioblastoma.	J Neuropathol Exp Neurol	2017 Aug 1
glioma (astrocytoma) AND expression AND CD163[Gene]	27584058	1	Methionine enkephalin regulates microglia polarization and function.	Int Immunopharmacol	2016 Nov
glioma (astrocytoma) AND expression AND CD163[Gene]	30258108		CD163, a novel therapeutic target, regulates the proliferation and stemness of glioma cells via casein kinase 2.	Oncogene	2019 Feb
glioma (astrocytoma) AND expression AND CD163[Gene]	30222900		Granular cell astrocytoma: an aggressive IDH-wildtype diffuse glioma with molecular genetic features of primary glioblastoma.	Brain Pathol	2019 Mar
glioma (astrocytoma) AND expression AND CD163[Gene]	30165233		Difference in Immunosuppressive Cells Between Peritumoral Area and Tumor Core in Glioblastoma.	World Neurosurg	2018 Dec
glioma (astrocytoma) AND expression AND DDIT3[Gene]	16616335	84	The stress-regulated protein p8 mediates cannabinoid-induced apoptosis of tumor cells.	Cancer Cell	2006 Apr
glioma (astrocytoma) AND expression AND DDIT3[Gene]	19724676	8	Killing of cancer cells by the photoactivatable protein kinase C inhibitor, calphostin C, involves induction of endoplasmic reticulum stress.	Neoplasia	2009 Sep
glioma (astrocytoma) AND expression AND DDIT3[Gene]	27852055	6	Isochaihulactone-induced DDIT3 causes ER stress-PERK independent apoptosis in glioblastoma multiforme cells.	Oncotarget	2017 Jan 17
glioma (astrocytoma) AND expression AND DDIT3[Gene]	27468826	6	Molecular and cellular effects of a novel hydroxamate-based HDAC inhibitor - belinostat - in glioblastoma cell lines: a preliminary report.	Invest New Drugs	2016 Oct
glioma (astrocytoma) AND expression AND DDIT3[Gene]	26781422	5	Benzyl isothiocyanate alters the gene expression with cell cycle regulation and cell death in human brain glioblastoma GBM 8401 cells.	Oncol Rep	2016 Apr
glioma (astrocytoma) AND expression AND DDIT3[Gene]	25982477	5	Down-regulation of 14-3-3β exerts anti-cancer effects through inducing ER stress in human glioma U87 cells: Involvement of CHOP-Wnt pathway.	Biochem Biophys Res Commun	2015 Jul 10
glioma (astrocytoma) AND expression AND DDIT3[Gene]	25434381	27	Chloroquine enhances temozolomide cytotoxicity in malignant gliomas by blocking autophagy.	Neurosurg Focus	2014 Dec
glioma (astrocytoma) AND expression AND DDIT3[Gene]	19549908	23	A ruthenium-containing organometallic compound reduces tumor growth through induction of the endoplasmic reticulum stress gene CHOP.	Cancer Res	2009 Jul 1
glioma (astrocytoma) AND expression AND DDIT3[Gene]	21697087	22	Modulation of CCAAT/enhancer binding protein homologous protein (CHOP)-dependent DR5 expression by nelfinavir sensitizes glioblastoma multiforme cells to tumor necrosis factor-related apoptosis-inducing ligand (TRAIL).	J Biol Chem	2011 Aug 19
glioma (astrocytoma) AND expression AND DDIT3[Gene]	18407735	2	Translational research in glioblastoma multiforme: molecular criteria for patient selection.	Future Oncol	2008 Apr
glioma (astrocytoma) AND expression AND DDIT3[Gene]	25531448	14	PARP inhibition restores extrinsic apoptotic sensitivity in glioblastoma.	PLoS One	2014
glioma (astrocytoma) AND expression AND DDIT3[Gene]	21827581	10	Downregulation of GRIM-19 promotes growth and migration of human glioma cells.	Cancer Sci	2011 Nov
glioma (astrocytoma) AND expression AND DDIT3[Gene]	30359578	1	C-27-carboxylated oleanane triterpenoids up-regulate TRAIL DISC assembly via p38 MAPK and CHOP-mediated DR5 expression in human glioblastoma cells.	Biochem Pharmacol	2018 Dec
glioma (astrocytoma) AND expression AND DDIT3[Gene]	29695906	1	Silica nanoparticle-induced oxidative stress and mitochondrial damage is followed by activation of intrinsic apoptosis pathway in glioblastoma cells.	Int J Nanomedicine	2018
glioma (astrocytoma) AND expression AND DDIT3[Gene]	29749548		Tumour cell dormancy as a contributor to the reduced survival of GBM patients who received standard therapy.	Oncol Rep	2018 Jul
glioma (astrocytoma) AND expression AND DDIT3[Gene]	27665771		The sarin-like organophosphorus agent bis(isopropyl methyl)phosphonate induces ER stress in human astrocytoma cells.	J Toxicol Sci	2016
glioma (astrocytoma) AND expression AND DDIT3[Gene]	21461920		Guggulipid and nimesulide differentially regulated inflammatory genes mRNA expressions via inhibition of NF-kB and CHOP activation in LPS-stimulated rat astrocytoma cells, C6.	Cell Mol Neurobiol	2011 Jul
glioma (astrocytoma) AND expression AND DDIT3[Gene]	21109939		HARPΔ111-136 enhances radiation-induced apoptosis of U87MG glioblastoma by induction of the proapoptotic protein CHOP.	Int J Oncol	2011 Jan
glioma (astrocytoma) AND expression AND DLD[Gene]	12193050	7	Three vasoactive peptides, endothelin-1, adrenomedullin and urotensin-II, in human tumour cell lines of different origin: expression and effects on proliferation.	Clin Sci (Lond)	2002 Aug
glioma (astrocytoma) AND expression AND DLD[Gene]	15491978	11	Protein kinase C activation promotes the internalization of the human cationic amino acid transporter hCAT-1. A new regulatory mechanism for hCAT-1 activity.	J Biol Chem	2004 Dec 24
glioma (astrocytoma) AND expression AND GNS[Gene]	23512659	62	Widespread resetting of DNA methylation in glioblastoma-initiating cells suppresses malignant cellular behavior in a lineage-dependent manner.	Genes Dev	2013 Mar 15
glioma (astrocytoma) AND expression AND GNS[Gene]	27870168	4	Proteome and Secretome Characterization of Glioblastoma-Derived Neural Stem Cells.	Stem Cells	2017 Apr
glioma (astrocytoma) AND expression AND GNS[Gene]	21992793	37	Targeting radiation-induced G(2) checkpoint activation with the Wee-1 inhibitor MK-1775 in glioblastoma cell lines.	Mol Cancer Ther	2011 Dec
glioma (astrocytoma) AND expression AND GNS[Gene]	27300435	35	Inhibition of Dopamine Receptor D4 Impedes Autophagic Flux, Proliferation, and Survival of Glioblastoma Stem Cells.	Cancer Cell	2016 Jun 13
