query_text	PMid	pmcrefcount	title	source	pubdate
embryonal rhabdomyosarcoma AND FBN2[Gene]	1	8	Immunohistochemical detection of EGFR, fibrillin-2, P-cadherin and AP2beta as biomarkers for rhabdomyosarcoma diagnostics.	Histopathology	2009 Jun
embryonal rhabdomyosarcoma AND FGFR4[Gene]	22142829	78	Oncogene mutation profiling of pediatric solid tumors reveals significant subsets of embryonal rhabdomyosarcoma and neuroblastoma with mutated genes in growth signaling pathways.	Clin Cancer Res	2012 Feb 1
embryonal rhabdomyosarcoma AND FGFR4[Gene]	21412928	38	High-resolution array CGH identifies common mechanisms that drive embryonal rhabdomyosarcoma pathogenesis.	Genes Chromosomes Cancer	2011 Jun
embryonal rhabdomyosarcoma AND FGFR4[Gene]	25349422	31	Development of covalent inhibitors that can overcome resistance to first-generation FGFR kinase inhibitors.	Proc Natl Acad Sci U S A	2014 Nov 11
embryonal rhabdomyosarcoma AND FGFR4[Gene]	29881993	3	Primary intracranial spindle cell sarcoma with rhabdomyosarcoma-like features share a highly distinct methylation profile and DICER1 mutations.	Acta Neuropathol	2018 Aug
embryonal rhabdomyosarcoma AND FGFR4[Gene]	28058850	3	Molecular diagnostics in the management of rhabdomyosarcoma.	Expert Rev Mol Diagn	2017 Feb
embryonal rhabdomyosarcoma AND FGFR4[Gene]	26138366	28	Integrated genetic and epigenetic analysis defines novel molecular subgroups in rhabdomyosarcoma.	Nat Commun	2015 Jul 3
embryonal rhabdomyosarcoma AND FGFR4[Gene]	22648271	20	FGFR4 blockade exerts distinct antitumorigenic effects in human embryonal versus alveolar rhabdomyosarcoma.	Clin Cancer Res	2012 Jul 15
embryonal rhabdomyosarcoma AND FGFR4[Gene]	27013922	1	Genetics of Bladder Malignant Tumors in Childhood.	Curr Genomics	2016 Feb
embryonal rhabdomyosarcoma AND GPC3[Gene]	25344940	6	Glypican 3 expression in pediatric malignant solid tumors.	Eur J Pediatr Surg	2015 Feb
embryonal rhabdomyosarcoma AND GPC3[Gene]	21493758	6	Glypican-3 is expressed in rhabdomyosarcomas but not adult spindle cell and pleomorphic sarcomas.	J Clin Pathol	2011 Jul
embryonal rhabdomyosarcoma AND GPC3[Gene]	30873384		Immunotherapeutic Targeting of GPC3 in Pediatric Solid Embryonal Tumors.	Front Oncol	2019
embryonal rhabdomyosarcoma AND GPC3[Gene]	30867793		Glypican-3 expression in malignant small round cell tumors.	Oncol Lett	2019 Mar
embryonal rhabdomyosarcoma AND HDAC3[Gene]	1		Preclinical rationale for entinostat in embryonal rhabdomyosarcoma.	Skelet Muscle	2019 May 21
embryonal rhabdomyosarcoma AND HMGA2[Gene]	24618610	9	Myogenin, AP2β, NOS-1, and HMGA2 are surrogate markers of fusion status in rhabdomyosarcoma: a report from the soft tissue sarcoma committee of the children's oncology group.	Am J Surg Pathol	2014 May
embryonal rhabdomyosarcoma AND HMGA2[Gene]	19147825	70	Molecular classification of rhabdomyosarcoma--genotypic and phenotypic determinants of diagnosis: a report from the Children's Oncology Group.	Am J Pathol	2009 Feb
embryonal rhabdomyosarcoma AND HMGA2[Gene]	18043289	4	Malignant ectomesenchymoma: genetic profile reflects rhabdomyosarcomatous differentiation.	Diagn Mol Pathol	2007 Dec
embryonal rhabdomyosarcoma AND HMGA2[Gene]	23536553	12	Oncogenic NRAS, required for pathogenesis of embryonic rhabdomyosarcoma, relies upon the HMGA2-IGF2BP2 pathway.	Cancer Res	2013 May 15
embryonal rhabdomyosarcoma AND HMGA2[Gene]	19454362	11	SNP genotyping of a sclerosing rhabdomyosarcoma: reveals highly aneuploid profile and a specific MDM2/HMGA2 amplification.	Hum Pathol	2009 Sep
embryonal rhabdomyosarcoma AND HMGA2[Gene]	26125949	1	The Role of Immunohistochemistry in Rhabdomyosarcoma Diagnosis Using Tissue Microarray Technology and a Xenograft Model.	Fetal Pediatr Pathol	2015
embryonal rhabdomyosarcoma AND HRAS[Gene]	19681119	41	RAS signaling dysregulation in human embryonal Rhabdomyosarcoma.	Genes Chromosomes Cancer	2009 Nov
embryonal rhabdomyosarcoma AND HRAS[Gene]	24641407	4	Compound HRAS/PIK3CA mutations in Chinese patients with alveolar rhabdomyosarcomas.	Asian Pac J Cancer Prev	2014
embryonal rhabdomyosarcoma AND HRAS[Gene]	24637993	3	Uniparental Trisomy of a Mutated HRAS Proto-Oncogene in Embryonal Rhabdomyosarcoma of a Patient With Costello Syndrome.	J Clin Oncol	2015 May 1
embryonal rhabdomyosarcoma AND HRAS[Gene]	23615277	22	A novel chemical screening strategy in zebrafish identifies common pathways in embryogenesis and rhabdomyosarcoma development.	Development	2013 Jun
embryonal rhabdomyosarcoma AND HRAS[Gene]	27589201	2	Paternal uniparental disomy with segmental loss of heterozygosity of chromosome 11 are hallmark characteristics of syndromic and sporadic embryonal rhabdomyosarcoma.	Am J Med Genet A	2016 Dec
embryonal rhabdomyosarcoma AND HRAS[Gene]	17164262	12	Uniparental disomy at chromosome 11p15.5 followed by HRAS mutations in embryonal rhabdomyosarcoma: lessons from Costello syndrome.	Hum Mol Genet	2007 Feb 15
embryonal rhabdomyosarcoma AND HRAS[Gene]	27013922	1	Genetics of Bladder Malignant Tumors in Childhood.	Curr Genomics	2016 Feb
embryonal rhabdomyosarcoma AND HRAS[Gene]	26872011	1	Frequent HRAS Mutations in Malignant Ectomesenchymoma: Overlapping Genetic Abnormalities With Embryonal Rhabdomyosarcoma.	Am J Surg Pathol	2016 Jul
embryonal rhabdomyosarcoma AND HRAS[Gene]	26572961	1	Paternal uniparental disomy 11p15.5 in the pancreatic nodule of an infant with Costello syndrome: Shared mechanism for hyperinsulinemic hypoglycemia in neonates with Costello and Beckwith-Wiedemann syndrome and somatic loss of heterozygosity in Costello syndrome driving clonal expansion.	Am J Med Genet A	2016 Mar
embryonal rhabdomyosarcoma AND HRAS[Gene]	28421158		Cytotoxicity of Zardaverine in Embryonal Rhabdomyosarcoma from a Costello Syndrome Patient.	Front Oncol	2017
embryonal rhabdomyosarcoma AND HRAS[Gene]	28203467		Costello Syndrome and Umbilical Ligament Rhabdomyosarcoma in Two Pediatric Patients: Case Reports and Review of the Literature.	Case Rep Genet	2017
embryonal rhabdomyosarcoma AND HRAS[Gene]	10475130		Analysis of p53 and K-ras genes and their proteins in a sarcoma botryoides of the uterine cervix.	Eur J Gynaecol Oncol	1999
embryonal rhabdomyosarcoma AND IGF2[Gene]	21915858	8	Induction of a regenerative microenvironment in skeletal muscle is sufficient to induce embryonal rhabdomyosarcoma in p53-deficient mice.	J Pathol	2012 Jan
embryonal rhabdomyosarcoma AND IGF2[Gene]	10404060	8	"High frequency of inactivation of the imprinted H19 gene in ""sporadic"" hepatoblastoma."	Int J Cancer	1999 Aug 12
embryonal rhabdomyosarcoma AND IGF2[Gene]	24173021	6	The paternally imprinted DLK1-GTL2 locus is differentially methylated in embryonal and alveolar rhabdomyosarcomas.	Int J Oncol	2014 Jan
embryonal rhabdomyosarcoma AND IGF2[Gene]	7614476	6	Maintenance of normal imprinting of H19 and IGF2 genes in neuroblastoma.	Cancer Res	1995 Aug 1
embryonal rhabdomyosarcoma AND IGF2[Gene]	9680387	5	Murine Stim1 maps to distal chromosome 7 and is not imprinted.	Mamm Genome	1998 Aug
embryonal rhabdomyosarcoma AND IGF2[Gene]	10534762	35	Genes, chromosomes, and rhabdomyosarcoma.	Genes Chromosomes Cancer	1999 Dec
embryonal rhabdomyosarcoma AND IGF2[Gene]	23079386	3	Investigation of PAX3/7-FKHR fusion genes and IGF2 gene expression in rhabdomyosarcoma tumors.	Growth Horm IGF Res	2012 Dec
embryonal rhabdomyosarcoma AND IGF2[Gene]	21744995	3	Rhabdomyosarcoma: molecular analysis of Igf2, MyoD1 and Myogenin expression.	Neoplasma	2011
embryonal rhabdomyosarcoma AND IGF2[Gene]	10935489	22	Disruption of imprinted genes at chromosome region 11p15.5 in paediatric rhabdomyosarcoma.	Neoplasia	1999 Oct
embryonal rhabdomyosarcoma AND IGF2[Gene]	9570364	21	Biallelic expression of the H19 and IGF2 genes in hepatocellular carcinoma.	Cancer Lett	1997 Nov 11
embryonal rhabdomyosarcoma AND IGF2[Gene]	9315099	21	Allelotype of pediatric rhabdomyosarcoma.	Oncogene	1997 Sep
embryonal rhabdomyosarcoma AND IGF2[Gene]	22289848	20	A set of imprinted genes required for normal body growth also promotes growth of rhabdomyosarcoma cells.	Pediatr Res	2012 Jan
embryonal rhabdomyosarcoma AND IGF2[Gene]	18788888	15	Expression of insulin-like growth factor pathway proteins in rhabdomyosarcoma: IGF-2 expression is associated with translocation-negative tumors.	Pediatr Dev Pathol	2009 Mar-Apr
embryonal rhabdomyosarcoma AND IGF2[Gene]	12234381	13	Reactivation of a silenced H19 gene in human rhabdomyosarcoma by demethylation of DNA but not by histone hyperacetylation.	Mol Cancer	2002 Jul 11
embryonal rhabdomyosarcoma AND IGF2[Gene]	28129571	1	Investigation of IGF2, IGFBP2 and p63 proteins in rhabdomyosarcoma tumors.	Growth Horm IGF Res	2017 Apr
embryonal rhabdomyosarcoma AND IGF2[Gene]	26572961	1	Paternal uniparental disomy 11p15.5 in the pancreatic nodule of an infant with Costello syndrome: Shared mechanism for hyperinsulinemic hypoglycemia in neonates with Costello and Beckwith-Wiedemann syndrome and somatic loss of heterozygosity in Costello syndrome driving clonal expansion.	Am J Med Genet A	2016 Mar
embryonal rhabdomyosarcoma AND IGF2[Gene]	20301568		Beckwith-Wiedemann Syndrome		1993
embryonal rhabdomyosarcoma AND IGF2[Gene]	27345568		Decreased CDKN1C Expression in Congenital Alveolar Rhabdomyosarcoma Associated with Beckwith-Wiedemann Syndrome.	Indian J Pediatr	2016 Nov
embryonal rhabdomyosarcoma AND IGF2[Gene]	26056800		Insulin-like Growth Factor 2 Gene Expression Molecularly Differentiates Pleuropulmonary Blastoma and Embryonal Rhabdomyosarcoma.	J Pediatr Hematol Oncol	2015 Aug
embryonal rhabdomyosarcoma AND IGF2[Gene]	10095436		[Evidence of genetic alterations in chromosome 11 in embryonal and alveolar rhabdomyosarcoma].	Verh Dtsch Ges Pathol	1998
embryonal rhabdomyosarcoma AND MAP2K1[Gene]	22142829	78	Oncogene mutation profiling of pediatric solid tumors reveals significant subsets of embryonal rhabdomyosarcoma and neuroblastoma with mutated genes in growth signaling pathways.	Clin Cancer Res	2012 Feb 1
embryonal rhabdomyosarcoma AND MAP2K1[Gene]	19681119	41	RAS signaling dysregulation in human embryonal Rhabdomyosarcoma.	Genes Chromosomes Cancer	2009 Nov
embryonal rhabdomyosarcoma AND MAP2K1[Gene]	19953625	11	Tumor spectrum in children with Noonan syndrome and SOS1 or RAF1 mutations.	Genes Chromosomes Cancer	2010 Mar
embryonal rhabdomyosarcoma AND MEG3[Gene]	1	6	The paternally imprinted DLK1-GTL2 locus is differentially methylated in embryonal and alveolar rhabdomyosarcomas.	Int J Oncol	2014 Jan
embryonal rhabdomyosarcoma AND MEST[Gene]	1	20	A set of imprinted genes required for normal body growth also promotes growth of rhabdomyosarcoma cells.	Pediatr Res	2012 Jan
embryonal rhabdomyosarcoma AND MSC[Gene]	26384300	7	Constitutive activation of MET signaling impairs myogenic differentiation of rhabdomyosarcoma and promotes its development and progression.	Oncotarget	2015 Oct 13
embryonal rhabdomyosarcoma AND MSC[Gene]	21134986	2	Teratoma with somatic-type malignant components in germ cell tumors of the testis: a clinicopathologic analysis of 40 cases with outcome correlation.	Int J Surg Pathol	2011 Jun
embryonal rhabdomyosarcoma AND MSC[Gene]	25625846	18	Overexpression of HOX genes is prevalent in Ewing sarcoma and is associated with altered epigenetic regulation of developmental transcription programs.	Epigenetics	2014 Dec
embryonal rhabdomyosarcoma AND MSC[Gene]	20301568		Beckwith-Wiedemann Syndrome		1993
embryonal rhabdomyosarcoma AND MSTN[Gene]	1	10	Inhibition of autocrine secretion of myostatin enhances terminal differentiation in human rhabdomyosarcoma cells.	Oncogene	2003 Nov 13
embryonal rhabdomyosarcoma AND MYF6[Gene]	24272621	18	Transactivating mutation of the MYOD1 gene is a frequent event in adult spindle cell rhabdomyosarcoma.	J Pathol	2014 Feb
embryonal rhabdomyosarcoma AND MYF6[Gene]	12082533	15	Identification of a novel gene NCRMS on chromosome 12q21 with differential expression between rhabdomyosarcoma subtypes.	Oncogene	2002 May 2
embryonal rhabdomyosarcoma AND MYF6[Gene]	1764365	12	Expression of members of the myf gene family in human rhabdomyosarcomas.	Br J Cancer	1991 Dec
embryonal rhabdomyosarcoma AND MYF6[Gene]	15489287	117	Alveolar rhabdomyosarcomas in conditional Pax3:Fkhr mice: cooperativity of Ink4a/ARF and Trp53 loss of function.	Genes Dev	2004 Nov 1
embryonal rhabdomyosarcoma AND MYOD1[Gene]	27764816	7	DNMT3B in vitro knocking-down is able to reverse embryonal rhabdomyosarcoma cell phenotype through inhibition of proliferation and induction of myogenic differentiation.	Oncotarget	2016 Nov 29
embryonal rhabdomyosarcoma AND MYOD1[Gene]	26482321	5	Genetic heterogeneity in rhabdomyosarcoma revealed by SNP array analysis.	Genes Chromosomes Cancer	2016 Jan
embryonal rhabdomyosarcoma AND MYOD1[Gene]	25557260	5	Clinicopathologic analysis of spindle cell/sclerosing rhabdomyosarcoma.	Pediatr Blood Cancer	2015 Jun
embryonal rhabdomyosarcoma AND MYOD1[Gene]	28985758	4	Pharmacological targeting of the ephrin receptor kinase signalling by GLPG1790 in vitro and in vivo reverts oncophenotype, induces myogenic differentiation and radiosensitizes embryonal rhabdomyosarcoma cells.	J Hematol Oncol	2017 Oct 6
embryonal rhabdomyosarcoma AND MYOD1[Gene]	28058850	3	Molecular diagnostics in the management of rhabdomyosarcoma.	Expert Rev Mol Diagn	2017 Feb
embryonal rhabdomyosarcoma AND MYOD1[Gene]	27688110	3	A clinicopathologic study of head and neck rhabdomyosarcomas showing FOXO1 fusion-positive alveolar and MYOD1-mutant sclerosing are associated with unfavorable outcome.	Oral Oncol	2016 Oct
embryonal rhabdomyosarcoma AND MYOD1[Gene]	27562493	3	MYOD1 (L122R) mutations are associated with spindle cell and sclerosing rhabdomyosarcomas with aggressive clinical outcomes.	Mod Pathol	2016 Dec
embryonal rhabdomyosarcoma AND MYOD1[Gene]	25800978	3	Oncofetal expression of Wilms' tumor 1 (WT1) protein in human fetal, adult and neoplastic skeletal muscle tissues.	Acta Histochem	2015 May-Jun
embryonal rhabdomyosarcoma AND MYOD1[Gene]	25684521	2	Rhabdomyosarcoma--an epidemiological and histopathologic study of 277 cases from a major tertiary care center in Karachi, Pakistan.	Asian Pac J Cancer Prev	2015
embryonal rhabdomyosarcoma AND MYOD1[Gene]	26501226	17	A Molecular Study of Pediatric Spindle and Sclerosing Rhabdomyosarcoma: Identification of Novel and Recurrent VGLL2-related Fusions in Infantile Cases.	Am J Surg Pathol	2016 Feb
embryonal rhabdomyosarcoma AND MYOD1[Gene]	25427715	17	Deep Sequencing the microRNA profile in rhabdomyosarcoma reveals down-regulation of miR-378 family members.	BMC Cancer	2014 Nov 25
embryonal rhabdomyosarcoma AND MYOD1[Gene]	29291204	1	Embryonal rhabdomyosarcoma in the maxillary sinus with orbital involvement in a pediatric patient: Case report.	World J Clin Cases	2017 Dec 16
embryonal rhabdomyosarcoma AND MYOD1[Gene]	27013922	1	Genetics of Bladder Malignant Tumors in Childhood.	Curr Genomics	2016 Feb
embryonal rhabdomyosarcoma AND MYOD1[Gene]	30709448		Update on Myogenic Sarcomas.	Surg Pathol Clin	2019 Mar
embryonal rhabdomyosarcoma AND MYOD1[Gene]	30604891		The expanding morphological and genetic spectrum of MYOD1-mutant spindle cell/sclerosing rhabdomyosarcomas: a clinicopathological and molecular comparison of mutated and non-mutated cases.	Histopathology	2019 May
embryonal rhabdomyosarcoma AND MYOD1[Gene]	30098515		Clinicopathologic features of 300 rhabdomyosarcomas with emphasis upon differential expression of skeletal muscle specific markers in the various subtypes: A single institutional experience.	Ann Diagn Pathol	2018 Oct
embryonal rhabdomyosarcoma AND MYOD1[Gene]	29375950		Embryonal Rhabdomyosarcoma of the Cervix: A Rare Disease at an Uncommon Age.	Cureus	2017 Nov 21
embryonal rhabdomyosarcoma AND MYOD1[Gene]	28554759		Clinicopathological analysis of concomitant hepatic embryonal rhabdomyosarcoma and hepatocellular carcinoma.	Pathol Res Pract	2017 Aug
embryonal rhabdomyosarcoma AND MYOD1[Gene]	27743320		Embryonal Rhabdomyosarcoma of the Oral Cavity.	Head Neck Pathol	2017 Sep
embryonal rhabdomyosarcoma AND MYOD1[Gene]	29278469		[Embryonal rhabdomyosarcoma in the male reproductive system: A clinicopathological analysis].	Zhonghua Nan Ke Xue	2016 Oct
embryonal rhabdomyosarcoma AND MYOG[Gene]	24618610	9	Myogenin, AP2β, NOS-1, and HMGA2 are surrogate markers of fusion status in rhabdomyosarcoma: a report from the soft tissue sarcoma committee of the children's oncology group.	Am J Surg Pathol	2014 May
embryonal rhabdomyosarcoma AND MYOG[Gene]	15536621	9	Rhabdomyosarcoma: value of myogenin expression analysis and molecular testing in diagnosing the alveolar subtype: an analysis of 109 paraffin-embedded specimens.	Cancer	2004 Dec 15
embryonal rhabdomyosarcoma AND MYOG[Gene]	9836066	6	Polymerase chain reaction-based diagnosis of rhabdomyosarcomas: comparison of fetal type acetylcholine receptor subunits and myogenin.	Diagn Mol Pathol	1998 Jun
embryonal rhabdomyosarcoma AND MYOG[Gene]	15462501	5	Spindle cell rhabdomyosarcoma of the tongue in an infant: a case report with emphasis on differential diagnosis of childhood spindle cell lesions.	Pathol Res Pract	2004
embryonal rhabdomyosarcoma AND MYOG[Gene]	11688574	36	Are myogenin and myoD1 expression specific for rhabdomyosarcoma? A study of 150 cases, with emphasis on spindle cell mimics.	Am J Surg Pathol	2001 Sep
embryonal rhabdomyosarcoma AND MYOG[Gene]	12218574	30	Sclerosing rhabdomyosarcoma in adults: report of four cases of a hyalinizing, matrix-rich variant of rhabdomyosarcoma that may be confused with osteosarcoma, chondrosarcoma, or angiosarcoma.	Am J Surg Pathol	2002 Sep
embryonal rhabdomyosarcoma AND MYOG[Gene]	21744995	3	Rhabdomyosarcoma: molecular analysis of Igf2, MyoD1 and Myogenin expression.	Neoplasma	2011
embryonal rhabdomyosarcoma AND MYOG[Gene]	14668557	3	Sarcoma botryoides of the uterine cervix in a 46-year-old woman: case report and literature review.	Int J Gynecol Pathol	2004 Jan
embryonal rhabdomyosarcoma AND MYOG[Gene]	23435416	29	JARID2 is a direct target of the PAX3-FOXO1 fusion protein and inhibits myogenic differentiation of rhabdomyosarcoma cells.	Oncogene	2014 Feb 27
embryonal rhabdomyosarcoma AND MYOG[Gene]	10666368	29	Strong immunostaining for myogenin in rhabdomyosarcoma is significantly associated with tumors of the alveolar subclass.	Am J Pathol	2000 Feb
embryonal rhabdomyosarcoma AND MYOG[Gene]	12783965	28	Myogenin and MyoD1 expression in paediatric rhabdomyosarcomas.	J Clin Pathol	2003 Jun
embryonal rhabdomyosarcoma AND MYOG[Gene]	11007039	28	Myogenin is a specific marker for rhabdomyosarcoma: an immunohistochemical study in paraffin-embedded tissues.	Mod Pathol	2000 Sep
embryonal rhabdomyosarcoma AND MYOG[Gene]	12426678	2	Myogenin--a more specific target for RT-PCR detection of rhabdomyosarcoma than MyoD1.	Med Pediatr Oncol	2003 Jan
embryonal rhabdomyosarcoma AND MYOG[Gene]	10853028	2	A new human pleomorphic rhabdomyosarcoma cell-line, HS-RMS-1, exhibiting MyoD1 and myogenin.	Int J Oncol	2000 Jul
embryonal rhabdomyosarcoma AND MYOG[Gene]	24272621	18	Transactivating mutation of the MYOD1 gene is a frequent event in adult spindle cell rhabdomyosarcoma.	J Pathol	2014 Feb
embryonal rhabdomyosarcoma AND MYOG[Gene]	18708938	13	Diffuse myogenin expression by immunohistochemistry is an independent marker of poor survival in pediatric rhabdomyosarcoma: a tissue microarray study of 71 primary tumors including correlation with molecular phenotype.	Am J Surg Pathol	2008 Oct
embryonal rhabdomyosarcoma AND MYOG[Gene]	11675006	11	Identification of new genes related to the myogenic differentiation arrest of human rhabdomyosarcoma cells.	Gene	2001 Aug 22
embryonal rhabdomyosarcoma AND MYOG[Gene]	27013922	1	Genetics of Bladder Malignant Tumors in Childhood.	Curr Genomics	2016 Feb
embryonal rhabdomyosarcoma AND MYOG[Gene]	27756397		Primary alveolar rhabdomyosarcoma of the bone: two cases and review of the literature.	Diagn Pathol	2016 Oct 18
embryonal rhabdomyosarcoma AND MYOG[Gene]	10095433		[Comparison of the transcription of the fetal type acetylcholine receptor and myogenin in rhabdomyosarcoma].	Verh Dtsch Ges Pathol	1998
embryonal rhabdomyosarcoma AND SGCA[Gene]	1	20	Mice lacking dystrophin or alpha sarcoglycan spontaneously develop embryonal rhabdomyosarcoma with cancer-associated p53 mutations and alternatively spliced or mutant Mdm2 transcripts.	Am J Pathol	2010 Jan
embryonal rhabdomyosarcoma AND SPRY2[Gene]	1	2	SPRY2 is a novel MET interactor that regulates metastatic potential and differentiation in rhabdomyosarcoma.	Cell Death Dis	2018 Feb 14
embryonal rhabdomyosarcoma AND VGLL2[Gene]	28058850	3	Molecular diagnostics in the management of rhabdomyosarcoma.	Expert Rev Mol Diagn	2017 Feb
embryonal rhabdomyosarcoma AND VGLL2[Gene]	26501226	17	A Molecular Study of Pediatric Spindle and Sclerosing Rhabdomyosarcoma: Identification of Novel and Recurrent VGLL2-related Fusions in Infantile Cases.	Am J Surg Pathol	2016 Feb
glioma (astrocytoma) AND ALOX15[Gene]	1	19	Silencing IL-13Rα2 promotes glioblastoma cell death via endogenous signaling.	Mol Cancer Ther	2011 Jul
glioma (astrocytoma) AND ATP1A3[Gene]	1	15	Quantitative proteomic Isotope-Coded Protein Label (ICPL) analysis reveals alteration of several functional processes in the glioblastoma.	J Proteomics	2012 Jul 16
glioma (astrocytoma) AND CD163[Gene]	28073370	8	Expression site of P2RY12 in residential microglial cells in astrocytomas correlates with M1 and M2 marker expression and tumor grade.	Acta Neuropathol Commun	2017 Jan 10
glioma (astrocytoma) AND CD163[Gene]	26769142	7	Telomere profiles and tumor-associated macrophages with different immune signatures affect prognosis in glioblastoma.	Mod Pathol	2016 Mar
glioma (astrocytoma) AND CD163[Gene]	23828240	52	Increase in tumor-associated macrophages after antiangiogenic therapy is associated with poor survival among patients with recurrent glioblastoma.	Neuro Oncol	2013 Aug
glioma (astrocytoma) AND CD163[Gene]	27101800	5	A reappraisal of macrophage polarization in glioblastoma: Histopathological and immunohistochemical findings and review of the literature.	Pathol Res Pract	2016 Jun
glioma (astrocytoma) AND CD163[Gene]	28283801	4	Serum amyloid A1 is upregulated in human glioblastoma.	J Neurooncol	2017 May
glioma (astrocytoma) AND CD163[Gene]	30467920	2	Persistent restoration to the immunosupportive tumor microenvironment in glioblastoma by bevacizumab.	Cancer Sci	2019 Feb
glioma (astrocytoma) AND CD163[Gene]	26180083	19	Serum exosomes and cytokines promote a T-helper cell type 2 environment in the peripheral blood of glioblastoma patients.	Neuro Oncol	2016 Feb
glioma (astrocytoma) AND CD163[Gene]	28569747	17	Tumour-associated macrophages secrete pleiotrophin to promote PTPRZ1 signalling in glioblastoma stem cells for tumour growth.	Nat Commun	2017 Jun 1
glioma (astrocytoma) AND CD163[Gene]	28259657	14	Expression of iNOS, CD163 and ARG-1 taken as M1 and M2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma.	Neurosci Lett	2017 Apr 3
glioma (astrocytoma) AND CD163[Gene]	24859792	14	Chemokine expression profile of freshly isolated human glioblastoma-associated macrophages/microglia.	Oncol Rep	2014 Jul
glioma (astrocytoma) AND CD163[Gene]	28612394	10	Tumor associated CD70 expression is involved in promoting tumor migration and macrophage infiltration in GBM.	Int J Cancer	2017 Oct 1
glioma (astrocytoma) AND CD163[Gene]	29302887	1	Analysis of immunobiologic markers in primary and recurrent glioblastoma.	J Neurooncol	2018 Apr
glioma (astrocytoma) AND CD163[Gene]	28789475	1	Expression of CD70 (CD27L) Is Associated With Epithelioid and Sarcomatous Features in IDH-Wild-Type Glioblastoma.	J Neuropathol Exp Neurol	2017 Aug 1
glioma (astrocytoma) AND CD163[Gene]	27584058	1	Methionine enkephalin regulates microglia polarization and function.	Int Immunopharmacol	2016 Nov
