parent_sample	sample_id	gene	is_outlier_in_subset	target_MEND_count	up_outlier_occurances	first_appears	gene_is_true_positive_in_parent_sample	hit_type
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	DENND1A	TRUE	44	11	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	DENND2A	TRUE	44	7	8	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	DHDDS	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	DLD	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	DOK5	TRUE	44	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	EGFL6	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	FAM45A	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GDF11	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GNS	TRUE	44	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GPR143	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GPR162	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GPR34	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GSTM5	TRUE	44	6	24	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	IBSP	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	IFITM10	TRUE	44	10	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	IFRD1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	IL13RA2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	KLHL7	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	LAMTOR5	TRUE	44	12	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	LARP4	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	LONP1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	LRRC39	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	LSM10	TRUE	44	10	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	LYVE1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	MALSU1	TRUE	44	12	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	MT3	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	NECAB2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	NGLY1	TRUE	44	12	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	NMRK2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ORAI1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	OSBP2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	OSTM1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	OTX2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PAX6	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PCLO	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PCP4	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PCSK9	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PDE4DIP	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PDZD11	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PET117	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PFKFB2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PIEZO2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PIK3R3	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PQBP1	TRUE	44	10	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PQLC2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PSMC2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RAB29	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RIT1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RITA1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RP11-295K3.1	TRUE	44	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RP11-386I14.4	TRUE	44	9	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RRAGC	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RTCA	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RXRG	TRUE	44	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SDCBP	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SDHB	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SIKE1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SLC13A4	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SLC24A5	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SLC25A13	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SLC25A18	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SNAP29	TRUE	44	12	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SNTA1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SOAT1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SSX2IP	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	STAC2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	STAG3L4	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TANGO2	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TMEM106C	TRUE	44	11	8	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TMEM60	TRUE	44	9	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TRAPPC2L	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TRPM3	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TSPAN10	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TTR	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TXNL4A	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TYR	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TYRP1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	UAP1L1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	UROS	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	VSIG4	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	WBSCR16	TRUE	44	5	4	FALSE	False positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	WI2-1896O14.1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ZIC1	TRUE	44	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ZNF106	TRUE	44	6	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP5F1	FALSE	44	6	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	COA1	FALSE	44	7	4	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SQSTM1	FALSE	44	4	8	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ABCB7	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	AC009133.22	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ADAP2	FALSE	44	2	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATG7	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP11C	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP5S	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ATP6V1C1	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	BCAS2	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	BOLA3	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	C18orf8	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	FPR1	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GPX1P1	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GSR	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GUK1	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	IGKV1-39	FALSE	44	2	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	KIAA0196	FALSE	44	2	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	MOSPD1	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	NDUFS2	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	PNPT1	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RBBP9	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RP4-616B8.4	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SIGLEC10	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SNORA5A	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SYNJ2BP-COX16	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TMEM126A	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	TMEM251	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ZC3HC1	FALSE	44	2	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ZFYVE16	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	uc_338	FALSE	44	1	1	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	ABHD4	FALSE	44	1	8	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	AL442127.1	FALSE	44	1	8	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	GBA	FALSE	44	1	8	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	IQSEC2	FALSE	44	3	8	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SNORA11	FALSE	44	1	8	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	SNORA61	FALSE	44	1	8	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	MKKS	FALSE	44	2	16	FALSE	True negative
TH_Eval_015	TH_Eval_015_est44M_UMEND_seqtk_seed_6556	RNA5SP216	FALSE	44	1	12	FALSE	True negative
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	AC006262.5	TRUE	24	11	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	AC066694.1	FALSE	24	9	4	TRUE	False negative
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	ADORA3	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	AGK	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	ALOX15	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	AP1S2	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	AP5Z1	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	ATP1A3	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	ATP5J2	TRUE	24	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	ATP6V0B	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	ATP6V0D1	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	ATP6V1E1	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	ATP6V1F	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	BHMT2	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	C8orf22	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	CA14	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	CAPN3	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	CCDC28B	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	CCDC51	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	CD163	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	CHCHD3	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	CNIH3	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	COLGALT2	TRUE	24	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	COPRS	TRUE	24	11	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	COQ10A	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	CRYGS	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	CTNS	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	DDIT3	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	DENND1A	TRUE	24	11	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	DENND2A	FALSE	24	7	8	TRUE	False negative
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	DHDDS	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	DLD	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	DOK5	TRUE	24	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	EGFL6	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	FAM45A	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	GDF11	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	GNS	TRUE	24	12	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	GPR143	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	GPR162	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	GPR34	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	GSTM5	TRUE	24	6	24	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	IBSP	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	IFITM10	TRUE	24	10	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	IFRD1	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	IL13RA2	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	KLHL7	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	LAMTOR5	TRUE	24	12	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	LARP4	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	LONP1	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	LRRC39	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	LSM10	TRUE	24	10	4	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	LYVE1	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	MALSU1	TRUE	24	12	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	MT3	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	NECAB2	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	NGLY1	FALSE	24	12	1	TRUE	False negative
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	NMRK2	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	ORAI1	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	OSBP2	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	OSTM1	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	OTX2	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	PAX6	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	PCLO	TRUE	24	13	1	TRUE	True positive
TH_Eval_015	TH_Eval_015_est24M_UMEND_seqtk_seed_4424	PCP4	TRUE	24	13	1	TRUE	True positive
